[2025-09-13 12:22:07] 🚀 Số file PDF cần trích xuất: 2383
[2025-09-13 12:22:21] ✅ Đã lưu text từ 000000014185625_BC_tai_chinh_hop_nhat_quy_III_nam_2024signed.pdf vào folder_2.5_txt\000000014185625_BC_tai_chinh_hop_nhat_quy_III_nam_2024signed.txt
[2025-09-13 12:22:21] ✅ Đã lưu text từ 000000014185542_BC_tai_chinh_quy_III_nam_2024signed.pdf vào folder_2.5_txt\000000014185542_BC_tai_chinh_quy_III_nam_2024signed.txt
[2025-09-13 12:22:23] ✅ Đã lưu text từ 000000014185009_2024_CBTT_BCTC_quy_3_signed.pdf vào folder_2.5_txt\000000014185009_2024_CBTT_BCTC_quy_3_signed.txt
[2025-09-13 12:22:23] ✅ Đã lưu text từ 000000014184953_BCTC_quy_32024.pdf vào folder_2.5_txt\000000014184953_BCTC_quy_32024.txt
[2025-09-13 12:22:40] ✅ Đã lưu text từ 000000014186159_BCTC_HN_Q3_2024.pdf vào folder_2.5_txt\000000014186159_BCTC_HN_Q3_2024.txt
[2025-09-13 12:22:41] ✅ Đã lưu text từ 000000014186450_2024.10.16CBTT_Bao_cao_tai_chinh_Q2_2024_signed.pdf vào folder_2.5_txt\000000014186450_2024.10.16CBTT_Bao_cao_tai_chinh_Q2_2024_signed.txt
[2025-09-13 12:22:53] ✅ Đã lưu text từ 000000014186923_BCTC_RIENG_GIUA_NIEN_DO_DA_DUOC_SOAT_XET__6T.2024.pdf vào folder_2.5_txt\000000014186923_BCTC_RIENG_GIUA_NIEN_DO_DA_DUOC_SOAT_XET__6T.2024.txt
[2025-09-13 12:22:56] ✅ Đã lưu text từ 000000014188041_PXM__BCTC_QUY_III2024.pdf vào folder_2.5_txt\000000014188041_PXM__BCTC_QUY_III2024.txt
[2025-09-13 12:22:56] ✅ Đã lưu text từ 000000014187088_BCTC_HOP_NHAT_GIUA_NIEN_DO_DA_DUOC_SOAT_XET__6T.2024_1.pdf vào folder_2.5_txt\000000014187088_BCTC_HOP_NHAT_GIUA_NIEN_DO_DA_DUOC_SOAT_XET__6T.2024_1.txt
[2025-09-13 12:23:05] ✅ Đã lưu text từ 000000014187260_BCTC_R_Quy_III_2024_da_ky_so.pdf vào folder_2.5_txt\000000014187260_BCTC_R_Quy_III_2024_da_ky_so.txt
[2025-09-13 12:23:21] ✅ Đã lưu text từ 000000014190361_SIGN__BCTC.pdf vào folder_2.5_txt\000000014190361_SIGN__BCTC.txt
[2025-09-13 12:23:23] ✅ Đã lưu text từ 000000014189704_BCTC_Quy3_2024_ky_so.pdf vào folder_2.5_txt\000000014189704_BCTC_Quy3_2024_ky_so.txt
[2025-09-13 12:23:23] ✅ Đã lưu text từ 000000014191010_BCTC_Rieng_Q324.pdf vào folder_2.5_txt\000000014191010_BCTC_Rieng_Q324.txt
[2025-09-13 12:23:29] ✅ Đã lưu text từ 000000014191033_BCTC_HN_Q324.pdf vào folder_2.5_txt\000000014191033_BCTC_HN_Q324.txt
[2025-09-13 12:23:46] ✅ Đã lưu text từ 000000014192688_BCTC_Q3__9thang_Hop_nhat.pdf vào folder_2.5_txt\000000014192688_BCTC_Q3__9thang_Hop_nhat.txt
[2025-09-13 12:23:52] ✅ Đã lưu text từ 000000014191167_Cong_bo_bao_cao_tai_chinh_qui_III_nam_2024_1merged_gui_SGDCK.pdf vào folder_2.5_txt\000000014191167_Cong_bo_bao_cao_tai_chinh_qui_III_nam_2024_1merged_gui_SGDCK.txt
[2025-09-13 12:23:56] ✅ Đã lưu text từ 000000014192476_bao_cao_tai_chinh_quy_32024._0001_banky.pdf vào folder_2.5_txt\000000014192476_bao_cao_tai_chinh_quy_32024._0001_banky.txt
[2025-09-13 12:23:59] ✅ Đã lưu text từ 000000014192720_106._CBTT_BCTC_Quy_3._2024.pdf vào folder_2.5_txt\000000014192720_106._CBTT_BCTC_Quy_3._2024.txt
[2025-09-13 12:24:16] ✅ Đã lưu text từ 000000014192746_Bao_cao_tai_chinh_Q3.2024__Ky_so.pdf vào folder_2.5_txt\000000014192746_Bao_cao_tai_chinh_Q3.2024__Ky_so.txt
[2025-09-13 12:24:19] ✅ Đã lưu text từ 000000014192943_BCTC_Q39thang_Rieng.pdf vào folder_2.5_txt\000000014192943_BCTC_Q39thang_Rieng.txt
[2025-09-13 12:24:21] ✅ Đã lưu text từ 000000014193036_BCTC_quy_3.2024.pdf vào folder_2.5_txt\000000014193036_BCTC_quy_3.2024.txt
[2025-09-13 12:24:34] ✅ Đã lưu text từ 000000014193102_BCTC_QUY_III_2024_signed.pdf vào folder_2.5_txt\000000014193102_BCTC_QUY_III_2024_signed.txt
